,count,mean,std,min,25%,50%,75%,max
Hydraulic_Pressure(bar),1264.0,84.76049841772152,26.34138401425067,50.14,64.80250000000001,80.13,94.29,191.0
Coolant_Pressure(bar),1265.0,5.114900076622925,0.9199271474834773,0.325,4.546032432,4.791396578,5.567856573,6.960635908
Air_System_Pressure(bar),1257.0,6.502979716759746,0.39943837337256155,5.063480035,6.225224743,6.514118397,6.775374948,7.973991528
Coolant_Temperature,1265.0,19.98308300395257,8.378119954296404,4.1,12.3,23.0,26.5,36.5
Hydraulic_Oil_Temperature,1260.0,47.571349206349204,3.791040785244152,35.2,45.1,47.6,50.1,59.5
Spindle_Bearing_Temperature,1263.0,34.99136975455266,3.831686218778826,23.2,32.4,35.0,37.6,49.5
Spindle_Vibration,1261.0,1.0036962727993657,0.34673756906853526,0.033,0.778,0.996,1.241,2.0
Tool_Vibration,1259.0,25.374516282764098,6.504164255558735,5.775,21.058500000000002,25.328,29.747,45.492
Spindle_Speed(RPM),1265.0,21319.361264822135,4123.213322107649,0.0,18461.0,19964.0,25528.0,27957.0
Voltage(volts),1265.0,349.2584980237154,45.31804338546167,202.0,319.0,348.0,380.0,473.0
Torque(Nm),1256.0,22.76099774259554,5.208139507419313,0.0,16.96410507,24.628027955,26.32380832,36.25470838
Cutting(kN),1263.0,3.0564133016627077,0.5730282476702147,1.8,2.55,2.84,3.59,3.93
